,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,,12.0,12.0,12,12.0,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
pref_city,,9.0,9.0,9,9.0,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
county_reg,,103.0,103.0,103,103.0,103,103.0,103.0,102.0,102.0,102.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
pref_city_distr,,23.0,23.0,23,23.0,23,23.0,23.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
county_city,,11.0,11.0,11,11.0,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
county,,17.0,17.0,17,17.0,17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
auto_county,,,,0,,0,,,,,,,,,,,,,,
town_reg,,1025.0,1025.0,1024,1024.0,1024,1020.0,1014.0,1010.0,1010.0,1010.0,1010.0,909.0,863.0,863.0,858.0,854.0,861.0,1112.0,1427.0
city_town,,509.0,509.0,508,508.0,508,505.0,503.0,496.0,495.0,493.0,490.0,477.0,463.0,463.0,458.0,458.0,457.0,493.0,532.0
rural_town,,270.0,270.0,270,270.0,270,272.0,272.0,275.0,275.0,275.0,277.0,192.0,179.0,179.0,182.0,67.0,68.0,226.0,407.0
street,,246.0,246.0,246,246.0,246,243.0,239.0,239.0,240.0,242.0,243.0,240.0,221.0,221.0,218.0,213.0,220.0,195.0,191.0
