,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
pref_reg,13.0,13.0,13,13.0,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
pref_city,13.0,13.0,13,13.0,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
county_reg,95.0,95.0,95,96.0,96,96.0,96.0,97.0,99.0,100.0,102.0,104.0,105.0,106.0,106.0,106.0,106.0,106.0,106.0
pref_city_distr,55.0,55.0,55,55.0,55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0
county_city,21.0,21.0,21,22.0,22,21.0,21.0,21.0,23.0,23.0,23.0,25.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0
county,19.0,19.0,19,19.0,19,20.0,20.0,21.0,21.0,22.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0
auto_county,,,0,,0,,,,,,,,,,,,,,
town_reg,1237.0,1237.0,1258,1261.0,1258,1284.0,1287.0,1281.0,1274.0,1265.0,1281.0,1300.0,1307.0,1334.0,1342.0,1355.0,1388.0,1410.0,1488.0
city_town,701.0,699.0,712,718.0,723,758.0,763.0,767.0,780.0,797.0,836.0,860.0,877.0,911.0,930.0,946.0,994.0,1019.0,1078.0
rural_town,17.0,19.0,31,40.0,44,68.0,69.0,72.0,79.0,79.0,96.0,96.0,98.0,107.0,109.0,108.0,108.0,109.0,122.0
street,519.0,519.0,515,503.0,491,458.0,455.0,442.0,415.0,389.0,349.0,344.0,332.0,316.0,303.0,300.0,285.0,281.0,287.0
